"Date","Close","Open","High","Low","Volume","Change %"
"11/04/2023","4,400.0","4,500.0","4,500.0","4,200.0","209.50K","-2.22%"
"10/04/2023","4,500.0","4,450.0","4,570.0","4,260.0","322.90K","0.67%"
"07/04/2023","4,470.0","4,550.0","4,560.0","4,400.0","292.00K","-1.11%"
"06/04/2023","4,520.0","4,230.0","4,520.0","4,230.0","811.90K","6.86%"
"05/04/2023","4,230.0","4,200.0","4,230.0","4,110.0","296.00K","0.71%"
"04/04/2023","4,200.0","4,120.0","4,210.0","4,110.0","294.70K","3.45%"
"03/04/2023","4,060.0","4,000.0","4,120.0","4,000.0","271.10K","2.78%"
"31/03/2023","3,950.0","3,930.0","3,990.0","3,930.0","189.40K","0.25%"
"30/03/2023","3,940.0","3,920.0","3,960.0","3,900.0","136.40K","0.77%"
"29/03/2023","3,910.0","3,960.0","3,990.0","3,910.0","147.20K","-1.76%"
"28/03/2023","3,980.0","4,100.0","4,100.0","3,930.0","187.30K","-0.50%"
"27/03/2023","4,000.0","4,000.0","4,000.0","3,950.0","196.70K","1.27%"
"24/03/2023","3,950.0","3,920.0","3,950.0","3,850.0","763.70K","0.00%"
"23/03/2023","3,950.0","3,840.0","3,950.0","3,840.0","73.30K","0.00%"
"22/03/2023","3,950.0","3,980.0","4,050.0","3,800.0","282.20K","0.00%"
"21/03/2023","3,950.0","3,840.0","3,950.0","3,800.0","184.40K","3.40%"
"20/03/2023","3,820.0","3,800.0","3,860.0","3,790.0","109.30K","-1.29%"
"17/03/2023","3,870.0","3,930.0","3,930.0","3,850.0","102.50K","-1.53%"
"16/03/2023","3,930.0","3,900.0","3,930.0","3,860.0","104.30K","-1.01%"
"15/03/2023","3,970.0","3,900.0","3,980.0","3,850.0","234.90K","3.12%"
"14/03/2023","3,850.0","3,890.0","3,980.0","3,810.0","21.40K","-2.04%"
"13/03/2023","3,930.0","3,900.0","3,930.0","3,860.0","62.10K","1.81%"
"10/03/2023","3,860.0","3,900.0","3,930.0","3,860.0","135.70K","-2.03%"
"09/03/2023","3,940.0","3,960.0","3,960.0","3,830.0","107.10K","1.81%"
"08/03/2023","3,870.0","3,880.0","3,880.0","3,790.0","179.20K","1.84%"
"07/03/2023","3,800.0","3,920.0","3,920.0","3,650.0","267.30K","-3.06%"
"06/03/2023","3,920.0","3,870.0","4,000.0","3,870.0","135.50K","1.03%"
"03/03/2023","3,880.0","3,930.0","3,940.0","3,860.0","61.70K","-0.51%"
"02/03/2023","3,900.0","3,890.0","3,910.0","3,860.0","57.50K","0.26%"
"01/03/2023","3,890.0","3,880.0","3,890.0","3,800.0","110.10K","0.00%"
"28/02/2023","3,890.0","3,950.0","3,960.0","3,880.0","71.60K","-0.26%"
"27/02/2023","3,900.0","3,930.0","3,990.0","3,810.0","117.90K","-1.27%"
"24/02/2023","3,950.0","4,000.0","4,000.0","3,940.0","117.90K","-1.25%"
"23/02/2023","4,000.0","4,000.0","4,080.0","3,880.0","130.40K","0.50%"
"22/02/2023","3,980.0","4,100.0","4,130.0","3,980.0","198.30K","-4.33%"
"21/02/2023","4,160.0","4,280.0","4,280.0","4,100.0","253.60K","0.00%"
"20/02/2023","4,160.0","4,000.0","4,190.0","4,000.0","303.40K","4.00%"
"17/02/2023","4,000.0","4,090.0","4,100.0","4,000.0","195.40K","-2.20%"
"16/02/2023","4,090.0","4,190.0","4,190.0","4,000.0","133.30K","-0.24%"
"15/02/2023","4,100.0","4,000.0","4,180.0","3,950.0","208.10K","2.50%"
"14/02/2023","4,000.0","4,000.0","4,000.0","3,920.0","35.20K","0.00%"
"13/02/2023","4,000.0","4,100.0","4,220.0","3,980.0","39.40K","-2.68%"
"10/02/2023","4,110.0","4,160.0","4,160.0","4,080.0","42.30K","-1.91%"
"09/02/2023","4,190.0","4,200.0","4,200.0","4,140.0","43.70K","0.24%"
"08/02/2023","4,180.0","4,120.0","4,190.0","4,000.0","55.00K","1.70%"
